release_date,judul,sinopsis,genre,kata_kunci,rate,tahun
2017-07-20,The Doll 2,"Seorang ibu menggunakan boneka mendiang putrinya sebagai perantara untuk berkomunikasi dengannya, tetapi konsekuensinya sangat mengerikan.","Horror, Thriller",,5.1,2017
2002-02-08,Ada Apa dengan Cinta?,Seorang siswi populer di sekolah menengah atas mengalami ketegangan dalam hubungannya dengan kelompok pertemanannya yang erat ketika ia mulai jatuh cinta pada seorang teman sekolah yang tertutup dan berasal dari kelas bawah.,"Drama, Romance","SMA, puisi, Indonesia, cinta",7.7,2002
2019-01-11,Mata Batin 2,"Setelah saudara perempuannya meninggal, Alia memutuskan untuk memulai hidup baru dengan tinggal di panti asuhan milik Ibu Laksmi dan Bapak Fadli serta melakukan pekerjaan sosial di sana. Namun Alia merasa ada yang tidak beres dengan panti asuhan tersebut. Terlebih lagi, Nadia, salah satu penghuni panti asuhan yang tampaknya juga memiliki kemampuan indra keenam seperti Alia, dapat mendengar suara-suara misterius meminta bantuan dari seluruh dinding rumah. Alia dan Nadia membuka sebuah ruangan terkunci yang misterius. Sejak saat itu, bencana pun dimulai. Ternyata Alia dan Nadia telah melakukan kesalahan besar dan melepaskan Darmah, roh pendendam yang sengaja dikurung di ruangan tersebut. Bersama Ibu Windu, seorang paranormal dan mentor dari kemampuan indra keenamnya, Alia harus menghadapi Darmah dan menyelamatkan panti asuhan tersebut.","Horror, Mystery, Thriller",,5.3,2019
1981-01-01,Leák,"Seorang wanita meneliti sebuah buku yang membawanya ke sekte ilmu hitam Leák di Bali. Dia bertemu dengan seorang penyihir jahat yang berjanji akan melatihnya ilmu hitam, tetapi dia ditipu dan diubah menjadi vampir terbang dengan organ dalam yang menggantung di lehernya.","Mystery, Horror","cerita rakyat, penanggalan",5.7,1981
2019-01-03,DreadOut,"Sekelompok teman SMA memutuskan untuk melakukan siaran langsung dari dalam gedung apartemen berhantu, tetapi malah membuka portal ke Neraka.","Horror, Thriller",ketakutan,5,2019
2018-01-25,Dilan 1990,"Di sebuah SMA di Bandung, Dilan yang menawan dan pemberontak memperebutkan kasih sayang Milea, siswi baru yang pemalu.","Drama, Romance",,7.1,2018
2016-04-28,Ada Apa Dengan Cinta? 2,"Sepasang mantan kekasih kembali bertemu di Indonesia, satu dekade setelah hubungan mereka berakhir secara tiba-tiba.","Drama, Romance", ,7.3,2016
2018-06-15,Target,"Terperangkap di dalam bangunan kosong, sembilan orang dipaksa memainkan permainan mematikan. Semua gerakan mereka akan direkam, dan hanya satu pemain yang dapat bertahan hidup.","Comedy, Horror, Action", ,4.1,2018
2020-02-13,Milea: Suara dari Dilan,"Bertahun-tahun setelah kisah cinta masa remajanya dengan Milea, Dilan yang kini sudah dewasa menceritakan versinya sendiri tentang kisah cinta mereka ketika reuni sekolah menengah mempertemukan mereka kembali.","Drama, Romance", ,6.2,2020
2018-11-15,Suzzanna: Bernapas Dalam Kubur,"Para karyawan Satria berniat merampok rumahnya saat ia berada di luar negeri, tetapi perampokan mereka berubah menjadi pembunuhan ketika mereka menemukan Suzzanna di dalam rumah dan mengubur tubuhnya di halaman belakang.","Horror, Drama",Suzanna,5.5,2018
2008-09-25,Laskar Pelangi,Sekelompok 10 siswa berjuang melawan kemiskinan dan mengembangkan harapan untuk masa depan di Desa Gantong di pulau Belitung yang kaya akan pertanian dan pertambangan timah.,Drama,"tahun 1970-an, kemiskinan",7.9,2008
2016-12-28,Cek Toko Sebelah,Keharmonisan keluarga terganggu ketika sang kepala keluarga jatuh sakit dan putra bungsu mewarisi kepemilikan toko kecil milik keluarga mereka.,"Comedy, Drama, Family", ,7.8,2016
1982-01-01,Pengabdi Setan,Sebuah keluarga kaya berhenti menjalankan ajaran agama Islam mereka dan disiksa oleh makhluk undead setelah ibu mereka meninggal.,Horror, ,5.7,1982
2020-12-24,Asih 2,"Setelah mengadopsi Ana, Sylvia menyadari bahwa dia tidak hanya membawa Ana pulang, tetapi juga Asih, hantu yang telah menjadi ibu asuh Ana.",Horror, ,6,2020
2019-02-28,Dilan 1991,"Keterlibatan Dilan dalam geng motor membahayakan hubungannya dengan Milea, yang kerabat jauhnya kembali dari Belgia.","Drama, Romance", ,6.5,2019
2012-12-11,5 cm,"Lima sahabat memulai misi mendaki puncak tertinggi di Jawa, mengatasi berbagai rintangan di sepanjang jalan dan menemukan makna sejati persahabatan.","Romance, Drama, Adventure", ,7.3,2012
2019-01-03,Keluarga Cemara,"Setelah mengalami kebangkrutan, Abah dan Emak harus beradaptasi dengan kehidupan baru bersama anak-anak mereka di sebuah desa terpencil.","Family, Drama",keluarga cemara,7.6,2019
2020-01-02,Nanti Kita Cerita tentang Hari Ini,"Menyimpan rahasia besar, sebuah keluarga yang tampak bahagia menghadapi trauma masa lalu ketika bentrokan antar generasi mengancam untuk memisahkan mereka.",Drama, ,7.3,2020
2020-10-15,Seperti Hujan yang Jatuh ke Bumi,"Karena takut ditolak, seorang pemuda berjuang untuk menyatakan perasaannya kepada sahabatnya, yang kemudian jatuh cinta pada pria lain — hingga terjadi insiden yang menentukan.","Drama, Romance", ,4.8,2020
2019-07-11,Dua Garis Biru,Cinta remaja berujung pada patah hati bagi dua siswi SMA yang bernasib malang ketika kehamilan yang tidak direncanakan membawa konsekuensi menyakitkan bagi keluarga mereka.,Drama, ,7.8,2019
2021-12-09,Yuni,"Di tahun terakhir sekolah menengahnya, seorang siswi Indonesia yang cerdas bertekad untuk melanjutkan pendidikannya dan menolak menikah, terlepas dari harapan masyarakatnya.",Drama,"perjodohan, pendewasaan, sutradara wanita",7.3,2021
2022-04-30,KKN di Desa Penari,"Enam siswa diteror oleh seorang penari misterius saat menjalankan program pengabdian masyarakat di sebuah desa terpencil. Rupanya, salah satu dari mereka melanggar aturan paling fatal di desa tersebut.",Horror,"Tari, Muslim, desa, hantu, hutan, berdasarkan kisah nyata, hijab, berteriak, mahasiswa, Jawa, Indonesia, mandi, desa terpencil, kejutan menakutkan, resor hutan, ritual tari, teror",5.9,2022
2018-09-27,Aruna & Lidahnya,"Seorang ahli epidemiologi mengubah investigasi flu burung nasionalnya menjadi kesempatan untuk mencicipi makanan khas lokal dalam perjalanan, bersama tiga temannya.","Drama, Romance", ,7.1,2018
2017-03-27,Danur: I Can See Ghosts,"Risa terkejut mengetahui bahwa ketiga sahabatnya adalah hantu. Roh jahat menculik saudara perempuan Risa. Risa meminta bantuan Peter, William, dan Janshen.",Horror,hantu,5.3,2017
2022-08-25,Mencuri Raden Saleh,"Untuk menyelamatkan ayahnya, seorang pemalsu ulung berupaya mencuri lukisan yang tak ternilai harganya dengan bantuan sekelompok spesialis yang beragam.","Action, Crime, Drama", ,7.3,2022
2019-06-04,Ghost Writer,"Sebuah buku harian lama berisi rahasia kelam ditemukan oleh Naya, seorang novelis yang kehabisan ide selama 3 tahun. Buku ini merupakan bahan yang bagus untuk novel terbarunya, tetapi sesuatu yang tak terduga mulai terjadi.","Comedy, Drama, Horror", ,6.6,2019
2014-12-18,Pendekar Tongkat Emas,Seorang ahli bela diri membuat marah dua anak didiknya ketika dia memilih anak didik ketiga untuk menggantikan posisinya dan senjata legendaris yang menyertainya.,"Action, Drama",seni bela diri,6.2,2014
2023-02-09,Waktu Maghrib,"Teror menghantui jiwa Adi dan Saman. Ayu mengetahui alasan mengapa mereka disiksa - dosa yang dilakukan pada waktu paling berbahaya di bulan Maghrib. Dosa apa yang telah mereka lakukan dan apa yang akan terjadi pada Adi, Saman, Ayu, dan desa mereka?",Horror, ,5.8,2023
2018-07-12,"R: Raja, Ratu & Rahasia",Seorang siswi yang berduka atas kehilangan orang tuanya bergabung dengan klub ekstrakurikuler dan terlibat dalam hubungan asmara dengan teman sekelasnya yang menyimpan rahasia.,"Drama, Romance", ,6.8,2018
2005-04-26,Janji Joni,"Seorang pengantar film berjanji kepada seorang wanita muda yang cantik untuk mengantarkan film ke bioskop. Namun, seluruh kota tampaknya bersekongkol melawannya.","Drama, Comedy, Romance",bisnis film,7.6,2005
2018-04-19,Kembang Kantil,"Untuk menghadiri pertunjukan teater, Alisa (Irish Bella) pergi ke rumah saudara laki-lakinya, Anton (Fadika Royandi), dan istrinya, Santi (Nafa Urbach). Di rumah itu, Alisa bertemu Tania (Richelle Georgette Skonicki), anak angkat Anton dan Siska. Alisa segera menyadari keanehan sikap misterius Tania. Alisa melihat Tania memakan bunga magnolia di kamarnya. Rasa takut mulai menghampiri Alisa, hingga munculnya seorang pria misterius bernama Toro (Dorman Borisman) yang mengingatkannya untuk tidak mendekati Tania. Didorong oleh rasa ingin tahunya, Alisa mulai mencari tahu asal usul Tania. Ia ditemani oleh Aldy (Kevin Kambey), teman Alisa di teater, ke sebuah panti asuhan. Di sana mereka bertemu Novi (Sarwendah), pemilik panti asuhan. Novi mengungkapkan masa lalu kelam Tania. Alisa pun mulai menjalankan misi berbahaya.",Horror, ,6.4,2018
2017-12-21,Susah Sinyal,"Seorang pengacara sukses berusaha menjalin hubungan dengan putri remajanya saat berlibur di sebuah pulau, di mana sinyal telepon lemah dan ketegangan sangat terasa.","Comedy, Drama, Family", ,6.9,2017
2016-05-19,My Stupid Boss,"Setelah pindah ke Kuala Lumpur, Diana mendapatkan pekerjaan sebagai sekretaris di sebuah pabrik besi milik teman kuliah lama suaminya, yang mungkin merupakan bos terburuk di dunia.","Comedy, Drama",sutradara wanita,7.1,2016
2019-04-18,Kucumbu Tubuh Indahku,"Juno masih kecil ketika ayahnya meninggalkannya dari desa mereka di Jawa Tengah. Ditinggalkan dan sendirian, ia bergabung dengan pusat tari Lengger di mana para pria membentuk penampilan dan gerakan feminin mereka. Sensualitas dan seksualitas yang muncul dari tarian tersebut, bercampur dengan lingkungan sosial-politik Indonesia yang penuh kekerasan, memaksa Juno untuk berpindah dari desa ke desa.",Drama,"pendewasaan, homoseksualitas pria, berpakaian silang, penari tradisional",7.4,2019
2018-08-02,Kafir,"Setelah kematian ayah mereka yang aneh, dua bersaudara harus mengungkap penyebab utama teror paranormal yang tiba-tiba menimpa ibu mereka untuk menyelamatkannya.",a`,Q`1W,6.4,2018
2012-12-12,Habibie & Ainun,Habibie ingin menyatukan Indonesia melalui desain pesawat terbang. Ia bertemu belahan jiwanya dan menjalani perjuangannya untuk menjadi presiden ke-3 Indonesia.,"Drama, Romance, History", ,7.6,2012
1984-01-20,Golok Setan,"Pedang Iblis tersembunyi di dalam gua rahasia di Gunung Iblis, semua kejahatan akan bertarung sampai mati untuk mendapatkannya... ""Siapa pun yang memiliki pedang itu, akan memerintah kerajaan!"" Empat prajurit menyerang penjaga gunung dan mencoba memaksanya menyerahkan peta yang akan menuntun mereka ke pedang tersebut. Penjaga yang tersiksa itu melarikan diri dan berlari ke Mandala, tuannya, yang setelah mendengar tentang upaya tersebut, memulai perjalanannya sendiri untuk menyelamatkan Pedang Iblis. Dia mengalami banyak pertempuran mengerikan di sepanjang jalan, dia diserang oleh manusia buaya jahat dan menghadapi banyak jebakan jahat yang dipasang untuk para penyusup yang memasuki gunung. Akhirnya Mandala merebut hadiahnya - dapatkah dia memanggil para Dewa dan menggunakan pedang mistis itu melawan para prajurit yang mengamuk dengan kekuatan sihir mereka yang luar biasa? Akankah dia memenangkan pertarungan dengan ratu buaya yang menginginkan Pedang Iblis dengan segala cara?","Fantasy, Action, Horror, Adventure",seni bela diri,5.6,1984
2016-02-11,A Copy of My Mind,Kisah asmara baru antara seorang pekerja salon kecantikan dan seorang penulis subtitle untuk DVD bajakan terjerumus ke dalam bahaya ketika mereka menonton rekaman terlarang.,"Drama, Crime, Romance","pemilihan presiden, jakarta indonesia",7.2,2016
2017-10-26,Posesif,Seorang siswi penyelam mempertaruhkan masa depan akademiknya dan hubungannya dengan ayahnya ketika ia berkencan dengan seorang siswa pindahan yang murung dan terobsesi dengan hubungan asmara mereka.,Drama, ,7.3,2017
1981-01-01,Ratu Ilmu Hitam,"Seorang wanita dirayu dan kemudian ditinggalkan oleh kekasihnya yang plin-plan. Ketika kekasihnya menikahi wanita lain yang mulai berhalusinasi selama pernikahan mereka, wanita itu dituduh sebagai penyihir dan dilempar hingga tewas dari tebing. Seorang pria asing menyelamatkannya, merawatnya hingga sembuh, dan diberi tahu bahwa ia harus menguasai ilmu sihir hitam untuk membalas dendam kepada para penyiksanya. Ia melancarkan berbagai mantra kepada penduduk—dengan kaum pria sebagai target favoritnya, dan menjadi ratu ilmu sihir hitam. Tetapi siapakah sebenarnya pria itu, dan apakah ia memiliki rencana lain?","Horror, Drama", ,6.3,1981
2018-12-20,Milly & Mamet,"Setelah sepasang kekasih berkorban untuk membangun sarang mereka, kesempatan baru untuk melebarkan sayap menguji ikatan mereka.","Comedy, Drama, Romance", ,7.3,2018
2017-05-10,Critical Eleven,"Ale dan Anya pertama kali bertemu di penerbangan dari Jakarta ke Sydney. Anya terpikat dalam tiga menit pertama, tujuh jam kemudian mereka duduk bersebelahan dan saling mengenal melalui percakapan dan tawa, dan delapan menit sebelum berpisah Ale yakin dia menginginkan Anya.","Drama, Romance", ,7.1,2017
2018-03-08,Sekala Niskala,"Tantra dan Tantri tak terpisahkan. Ketika mereka diam-diam mencuri telur dari persembahan keluarga, Tantri selalu mendapatkan putih telur dan Tantra kuning telur. Namun suatu hari, kuning telur hilang, begitu pula Tantra. Kakaknya sakit parah dan dirawat di rumah sakit, Tantri mulai tergelincir ke dunia paralel magis, mendekati perpisahan yang tak terhindarkan melalui kostum, cat tubuh, dan tarian. Ketika pada suatu saat ibu Tantri membersihkan cat dari wajahnya, seolah-olah dengan lembut mengusir ilusi bahwa segala sesuatu dapat tetap seperti apa adanya. Dalam rangkaian mimpi yang panjang dan dengan latar belakang filosofi Bali tentang sekala – yang terlihat – dan niskala – yang tak terlihat – Andini menceritakan bagaimana seorang gadis berusia sepuluh tahun menghadapi perpisahan dan kesedihan.",Drama,"Indonesia, budaya",6.7,2018
2022-01-27,Ben & Jody,Dua sahabat karib bergabung dengan sekelompok penduduk desa untuk melawan para penebang kayu ilegal yang berusaha merebut tanah mereka.,"Action, Adventure, Thriller", ,5.4,2022
2021-10-14,A World Without,"Didirikan oleh pasangan berpengaruh, Ali dan Sofia Khan, The Light adalah pusat pelatihan yang mengklaim sebagai organisasi pengembangan diri, yang berfokus pada membantu kaum muda mengambil kendali atas hidup mereka untuk masa depan yang lebih cerah. Namun, ketika tiga sahabat bergabung dengan organisasi ini, mereka segera menyadari bahwa bayangan gelap mengintai di balik The Light dan harus menemukan cara untuk melarikan diri.","Mystery, Thriller, Drama", ,3.9,2021
2022-07-14,Ivanna,"Ambar dan Dika baru saja memulai babak baru kehidupan ketika dendam bertahun-tahun dari entitas jahat terungkap di depan mata mereka. Dengan karunia yang dimilikinya tanpa disengaja, Ambar kini terpaksa menyelesaikan pembalasan dendam entitas tersebut, roh Belanda tanpa kepala, Ivanna.",Horror, ,5.8,2022
2018-10-04,The Origin of Santet,"Setelah ayahnya bunuh diri, Rendy, istrinya Laura (Kelly Brook), dan kedua anaknya kembali ke Indonesia untuk merawat ibunya yang sakit. Rendy terkejut mendapati ibunya secara misterius tidak dapat berbicara, terbaring di tempat tidur dalam keadaan seperti kesurupan. Setelah ibunya tiba-tiba menyerang keluarga, mereka segera menyadari bahwa ibunya dirasuki oleh sihir hitam yang menakutkan. Serangkaian serangan mengerikan segera menimpa keluarga tersebut saat mereka mencoba melarikan diri dari sihir hitam iblis yang menyerang mereka.",Horror,ilmu hitam,3.8,2018
2019-01-24,Orang Kaya Baru,Tiga bersaudara dan ibu mereka menemukan kenikmatan — dan sisi negatif — dari kekayaan mendadak ketika ayah mereka meninggal dan kekayaan rahasianya terungkap.,"Comedy, Drama", ,6.6,2019
2019-12-19,Imperfect,"Seorang karyawan perusahaan kosmetik bergumul dengan rasa tidak percaya diri tentang citra tubuhnya, dan ia mempertimbangkan transformasi demi kesempatan mendapatkan promosi.","Comedy, Drama", ,7.7,2019
2018-08-30,Wiro Sableng: Pendekar Kapak Maut Naga Geni 212,"Setelah dilatih dalam seni silat, seorang murid dikirim dalam sebuah perjalanan oleh mentornya untuk mengalahkan seorang e-murid pengkhianat dengan rencana jahat.","Action, Comedy, Adventure","Indonesia, master bela diri, seniman bela diri",6.9,2018
2008-06-19,Fiksi.,"Ketika seorang wanita muda yang terlindungi jatuh cinta pada seorang penulis yang sedang berjuang, dia melakukan berbagai cara untuk terlibat dalam proses kreatif pria tersebut.","Thriller, Drama","psikopat, pembunuhan, sutradara wanita",7.7,2008
2008-02-28,Ayat-Ayat Cinta,"Fahri menarik perhatian banyak wanita, termasuk Maria, Nurul, dan Naora. Mereka menyembunyikan perasaan mereka hingga pernikahan Fahri dengan Aisha yang menghancurkan hati mereka.","Drama, Romance", ,6.9,2008
2006-10-27,Kuntilanak,Seorang mahasiswi muda pindah ke rumah kos baru di daerah yang sangat berhantu.,Horror, ,5.9,2006
2005-07-13,Gie,Aktivis Indonesia Soe Hok Gie mengalami kebangkitan politik selama rezim Soeharto dan Soekarno yang penuh gejolak.,"Drama, History","tema LGBT, gay",7.6,2005
2018-03-28,#TemanTapiMenikah,"Setelah bertahun-tahun mendambakan gadis pujaannya semasa SMA, seorang pemuda berusaha keras untuk keluar dari zona pertemanan hingga gadis itu mengungkapkan bahwa dia akan menikah.","Comedy, Drama, Romance", ,6.7,2018
2018-03-15,Love for Sale,"Richard menerima taruhan bahwa dia tidak dapat menemukan pasangan untuk pernikahan seorang teman, tanpa mengetahui bahwa aplikasi kencan yang dia gunakan menyertakan kontrak 45 hari.","Drama, Romance", ,7.4,2018
2019-01-31,Terlalu Tampan,"Karena khawatir dengan pengaruh ketampanannya pada orang lain, seorang penyendiri setuju untuk bersekolah di SMA untuk pertama kalinya dan bertemu dengan seorang gadis yang kebal terhadap pesonanya.","Comedy, Drama, Romance", ,6.4,2019
